

Ente;Liste/Gruppi;Voti;
CANDELO;FORZA ITALIA;792;;
CANDELO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;393;;
CANDELO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;167;;
CANDELO;L'ALTRA EUROPA CON TSIPRAS;106;;
CANDELO;NUOVO CENTRO DESTRA - UDC;90;;
CANDELO;SCELTA EUROPEA;76;;
CANDELO;VERDI EUROPEI-GREEN ITALIA;46;;
CANDELO;ITALIA DEI VALORI;33;;
CANDELO;IO CAMBIO - MAIE;14;;
CAPRILE;PARTITO DEMOCRATICO;46;;
CAPRILE;FORZA ITALIA;34;;
CAPRILE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;18;;
CAPRILE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;17;;
CAPRILE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
CAPRILE;VERDI EUROPEI-GREEN ITALIA;3;;
CAPRILE;IO CAMBIO - MAIE;2;;
CAPRILE;L'ALTRA EUROPA CON TSIPRAS;2;;
CAPRILE;ITALIA DEI VALORI;1;;
CAPRILE;NUOVO CENTRO DESTRA - UDC;1;;
CAPRILE;SCELTA EUROPEA;0;;
CASAPINTA;PARTITO DEMOCRATICO;90;;
CASAPINTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;73;;
CASAPINTA;FORZA ITALIA;32;;
CASAPINTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;23;;
CASAPINTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
CASAPINTA;NUOVO CENTRO DESTRA - UDC;7;;
CASAPINTA;SCELTA EUROPEA;3;;
CASAPINTA;VERDI EUROPEI-GREEN ITALIA;2;;
CASAPINTA;L'ALTRA EUROPA CON TSIPRAS;1;;
CASAPINTA;ITALIA DEI VALORI;1;;
CASAPINTA;IO CAMBIO - MAIE;0;;
CASTELLETTO CERVO;PARTITO DEMOCRATICO;137;;
CASTELLETTO CERVO;FORZA ITALIA;85;;
CASTELLETTO CERVO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;85;;
CASTELLETTO CERVO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;31;;
CASTELLETTO CERVO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
CASTELLETTO CERVO;L'ALTRA EUROPA CON TSIPRAS;9;;
CASTELLETTO CERVO;NUOVO CENTRO DESTRA - UDC;5;;
CASTELLETTO CERVO;ITALIA DEI VALORI;4;;
CASTELLETTO CERVO;VERDI EUROPEI-GREEN ITALIA;3;;
CASTELLETTO CERVO;IO CAMBIO - MAIE;1;;
CASTELLETTO CERVO;SCELTA EUROPEA;1;;
CAVAGLIA';PARTITO DEMOCRATICO;701;;
CAVAGLIA';FORZA ITALIA;405;;
CAVAGLIA';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;403;;
