

Ente;Liste/Gruppi;Voti;
ROCCA DI NETO;FORZA ITALIA;331;;
ROCCA DI NETO;NUOVO CENTRO DESTRA - UDC;298;;
ROCCA DI NETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;278;;
ROCCA DI NETO;L'ALTRA EUROPA CON TSIPRAS;122;;
ROCCA DI NETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
ROCCA DI NETO;SCELTA EUROPEA;6;;
ROCCA DI NETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ROCCA DI NETO;ITALIA DEI VALORI;3;;
ROCCA DI NETO;IO CAMBIO - MAIE;1;;
ROCCA DI NETO;VERDI EUROPEI-GREEN ITALIA;1;;
SAN MAURO MARCHESATO;PARTITO DEMOCRATICO;443;;
SAN MAURO MARCHESATO;FORZA ITALIA;260;;
SAN MAURO MARCHESATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;242;;
SAN MAURO MARCHESATO;NUOVO CENTRO DESTRA - UDC;151;;
SAN MAURO MARCHESATO;L'ALTRA EUROPA CON TSIPRAS;62;;
SAN MAURO MARCHESATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;42;;
SAN MAURO MARCHESATO;SCELTA EUROPEA;20;;
SAN MAURO MARCHESATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
SAN MAURO MARCHESATO;ITALIA DEI VALORI;11;;
SAN MAURO MARCHESATO;IO CAMBIO - MAIE;8;;
SAN MAURO MARCHESATO;VERDI EUROPEI-GREEN ITALIA;5;;
SAN NICOLA DELL'ALTO;PARTITO DEMOCRATICO;231;;
SAN NICOLA DELL'ALTO;FORZA ITALIA;125;;
SAN NICOLA DELL'ALTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;96;;
SAN NICOLA DELL'ALTO;L'ALTRA EUROPA CON TSIPRAS;22;;
SAN NICOLA DELL'ALTO;NUOVO CENTRO DESTRA - UDC;14;;
SAN NICOLA DELL'ALTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
SAN NICOLA DELL'ALTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
SAN NICOLA DELL'ALTO;SCELTA EUROPEA;4;;
SAN NICOLA DELL'ALTO;IO CAMBIO - MAIE;3;;
SAN NICOLA DELL'ALTO;ITALIA DEI VALORI;2;;
SAN NICOLA DELL'ALTO;VERDI EUROPEI-GREEN ITALIA;1;;
SANTA SEVERINA;PARTITO DEMOCRATICO;295;;
SANTA SEVERINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;157;;
SANTA SEVERINA;L'ALTRA EUROPA CON TSIPRAS;103;;
SANTA SEVERINA;FORZA ITALIA;49;;
SANTA SEVERINA;NUOVO CENTRO DESTRA - UDC;31;;
SANTA SEVERINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;26;;
SANTA SEVERINA;ITALIA DEI VALORI;6;;
SANTA SEVERINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
SANTA SEVERINA;VERDI EUROPEI-GREEN ITALIA;2;;
SANTA SEVERINA;SCELTA EUROPEA;1;;
SANTA SEVERINA;IO CAMBIO - MAIE;1;;
SAVELLI;PARTITO DEMOCRATICO;244;;
SAVELLI;NUOVO CENTRO DESTRA - UDC;137;;
SAVELLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;97;;
SAVELLI;FORZA ITALIA;65;;
SAVELLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;47;;
SAVELLI;L'ALTRA EUROPA CON TSIPRAS;9;;
SAVELLI;VERDI EUROPEI-GREEN ITALIA;4;;
SAVELLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
SAVELLI;ITALIA DEI VALORI;1;;
SAVELLI;IO CAMBIO - MAIE;0;;
SAVELLI;SCELTA EUROPEA;0;;
SCANDALE;PARTITO DEMOCRATICO;493;;
SCANDALE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;283;;
SCANDALE;FORZA ITALIA;168;;
SCANDALE;NUOVO CENTRO DESTRA - UDC;109;;
SCANDALE;SCELTA EUROPEA;22;;
SCANDALE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;18;;
SCANDALE;L'ALTRA EUROPA CON TSIPRAS;14;;
SCANDALE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
SCANDALE;VERDI EUROPEI-GREEN ITALIA;6;;
SCANDALE;ITALIA DEI VALORI;3;;
SCANDALE;IO CAMBIO - MAIE;1;;
STRONGOLI;PARTITO DEMOCRATICO;793;;
STRONGOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;415;;
STRONGOLI;NUOVO CENTRO DESTRA - UDC;306;;
STRONGOLI;FORZA ITALIA;276;;
STRONGOLI;L'ALTRA EUROPA CON TSIPRAS;39;;
STRONGOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;37;;
STRONGOLI;ITALIA DEI VALORI;22;;
STRONGOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
STRONGOLI;IO CAMBIO - MAIE;4;;
STRONGOLI;SCELTA EUROPEA;3;;
STRONGOLI;VERDI EUROPEI-GREEN ITALIA;2;;
UMBRIATICO;PARTITO DEMOCRATICO;200;;
UMBRIATICO;FORZA ITALIA;163;;
UMBRIATICO;NUOVO CENTRO DESTRA - UDC;69;;
UMBRIATICO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;51;;
UMBRIATICO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;8;;
UMBRIATICO;SCELTA EUROPEA;7;;
UMBRIATICO;IO CAMBIO - MAIE;6;;
UMBRIATICO;L'ALTRA EUROPA CON TSIPRAS;4;;
UMBRIATICO;ITALIA DEI VALORI;3;;
UMBRIATICO;VERDI EUROPEI-GREEN ITALIA;1;;
UMBRIATICO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
VERZINO;PARTITO DEMOCRATICO;483;;
VERZINO;FORZA ITALIA;119;;
VERZINO;NUOVO CENTRO DESTRA - UDC;107;;
VERZINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;101;;
VERZINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;47;;
VERZINO;L'ALTRA EUROPA CON TSIPRAS;34;;
VERZINO;SCELTA EUROPEA;16;;
VERZINO;ITALIA DEI VALORI;11;;
VERZINO;VERDI EUROPEI-GREEN ITALIA;4;;
VERZINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
VERZINO;IO CAMBIO - MAIE;0;;
