

Ente;Liste/Gruppi;Voti;
CASTIGLION FIBOCCHI;SCELTA EUROPEA;2;;
CASTIGLION FIORENTINO;PARTITO DEMOCRATICO;3488;;
CASTIGLION FIORENTINO;FORZA ITALIA;1424;;
CASTIGLION FIORENTINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1104;;
CASTIGLION FIORENTINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;278;;
CASTIGLION FIORENTINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;272;;
CASTIGLION FIORENTINO;NUOVO CENTRO DESTRA - UDC;238;;
CASTIGLION FIORENTINO;L'ALTRA EUROPA CON TSIPRAS;145;;
CASTIGLION FIORENTINO;ITALIA DEI VALORI;82;;
CASTIGLION FIORENTINO;VERDI EUROPEI-GREEN ITALIA;56;;
CASTIGLION FIORENTINO;SCELTA EUROPEA;33;;
CASTIGLION FIORENTINO;IO CAMBIO - MAIE;30;;
CAVRIGLIA;PARTITO DEMOCRATICO;3552;;
CAVRIGLIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;967;;
CAVRIGLIA;FORZA ITALIA;459;;
CAVRIGLIA;L'ALTRA EUROPA CON TSIPRAS;195;;
CAVRIGLIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;127;;
CAVRIGLIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;115;;
CAVRIGLIA;NUOVO CENTRO DESTRA - UDC;77;;
CAVRIGLIA;VERDI EUROPEI-GREEN ITALIA;33;;
CAVRIGLIA;ITALIA DEI VALORI;28;;
CAVRIGLIA;SCELTA EUROPEA;7;;
CAVRIGLIA;IO CAMBIO - MAIE;5;;
CHITIGNANO;PARTITO DEMOCRATICO;289;;
CHITIGNANO;FORZA ITALIA;82;;
CHITIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;66;;
CHITIGNANO;NUOVO CENTRO DESTRA - UDC;37;;
CHITIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
CHITIGNANO;L'ALTRA EUROPA CON TSIPRAS;22;;
CHITIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;21;;
CHITIGNANO;VERDI EUROPEI-GREEN ITALIA;3;;
CHITIGNANO;SCELTA EUROPEA;1;;
CHITIGNANO;IO CAMBIO - MAIE;1;;
CHITIGNANO;ITALIA DEI VALORI;0;;
CHIUSI DELLA VERNA;PARTITO DEMOCRATICO;741;;
CHIUSI DELLA VERNA;FORZA ITALIA;163;;
CHIUSI DELLA VERNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;156;;
CHIUSI DELLA VERNA;L'ALTRA EUROPA CON TSIPRAS;60;;
CHIUSI DELLA VERNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;54;;
CHIUSI DELLA VERNA;NUOVO CENTRO DESTRA - UDC;42;;
