

Ente;Liste/Gruppi;Voti;
FILOTTRANO;PARTITO DEMOCRATICO;2297;;
FILOTTRANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1061;;
FILOTTRANO;FORZA ITALIA;801;;
FILOTTRANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;446;;
FILOTTRANO;NUOVO CENTRO DESTRA - UDC;231;;
FILOTTRANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;217;;
FILOTTRANO;L'ALTRA EUROPA CON TSIPRAS;122;;
FILOTTRANO;ITALIA DEI VALORI;73;;
FILOTTRANO;VERDI EUROPEI-GREEN ITALIA;56;;
FILOTTRANO;SCELTA EUROPEA;17;;
FILOTTRANO;IO CAMBIO - MAIE;16;;
GENGA;PARTITO DEMOCRATICO;440;;
GENGA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;312;;
GENGA;FORZA ITALIA;129;;
GENGA;NUOVO CENTRO DESTRA - UDC;96;;
GENGA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;66;;
GENGA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;35;;
GENGA;L'ALTRA EUROPA CON TSIPRAS;32;;
GENGA;ITALIA DEI VALORI;12;;
GENGA;VERDI EUROPEI-GREEN ITALIA;7;;
GENGA;SCELTA EUROPEA;4;;
GENGA;IO CAMBIO - MAIE;1;;
JESI;PARTITO DEMOCRATICO;11339;;
JESI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4133;;
JESI;FORZA ITALIA;1793;;
JESI;L'ALTRA EUROPA CON TSIPRAS;1177;;
JESI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;550;;
JESI;NUOVO CENTRO DESTRA - UDC;464;;
JESI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;431;;
JESI;VERDI EUROPEI-GREEN ITALIA;184;;
JESI;ITALIA DEI VALORI;128;;
JESI;SCELTA EUROPEA;124;;
JESI;IO CAMBIO - MAIE;38;;
LORETO;PARTITO DEMOCRATICO;2680;;
LORETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1683;;
LORETO;FORZA ITALIA;708;;
LORETO;NUOVO CENTRO DESTRA - UDC;388;;
LORETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;236;;
LORETO;L'ALTRA EUROPA CON TSIPRAS;204;;
LORETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;164;;
LORETO;VERDI EUROPEI-GREEN ITALIA;52;;
LORETO;ITALIA DEI VALORI;45;;
LORETO;SCELTA EUROPEA;29;;
LORETO;IO CAMBIO - MAIE;6;;
MAIOLATI SPONTINI;PARTITO DEMOCRATICO;1804;;
MAIOLATI SPONTINI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;794;;
MAIOLATI SPONTINI;FORZA ITALIA;374;;
MAIOLATI SPONTINI;L'ALTRA EUROPA CON TSIPRAS;169;;
MAIOLATI SPONTINI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;151;;
MAIOLATI SPONTINI;NUOVO CENTRO DESTRA - UDC;95;;
MAIOLATI SPONTINI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;76;;
MAIOLATI SPONTINI;VERDI EUROPEI-GREEN ITALIA;35;;
MAIOLATI SPONTINI;ITALIA DEI VALORI;25;;
MAIOLATI SPONTINI;SCELTA EUROPEA;18;;
MAIOLATI SPONTINI;IO CAMBIO - MAIE;4;;
MERGO;PARTITO DEMOCRATICO;283;;
