

Ente;Liste/Gruppi;Voti;
PANTELLERIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;543;;
PANTELLERIA;FORZA ITALIA;389;;
PANTELLERIA;NUOVO CENTRO DESTRA - UDC;168;;
PANTELLERIA;L'ALTRA EUROPA CON TSIPRAS;49;;
PANTELLERIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
PANTELLERIA;SCELTA EUROPEA;18;;
PANTELLERIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;15;;
PANTELLERIA;VERDI EUROPEI-GREEN ITALIA;5;;
PANTELLERIA;ITALIA DEI VALORI;4;;
PANTELLERIA;IO CAMBIO - MAIE;3;;
PARTANNA;PARTITO DEMOCRATICO;1700;;
PARTANNA;NUOVO CENTRO DESTRA - UDC;920;;
PARTANNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;769;;
PARTANNA;FORZA ITALIA;294;;
PARTANNA;L'ALTRA EUROPA CON TSIPRAS;97;;
PARTANNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;89;;
PARTANNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
PARTANNA;SCELTA EUROPEA;10;;
PARTANNA;ITALIA DEI VALORI;8;;
PARTANNA;IO CAMBIO - MAIE;7;;
PARTANNA;VERDI EUROPEI-GREEN ITALIA;6;;
PETROSINO;PARTITO DEMOCRATICO;915;;
PETROSINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;659;;
PETROSINO;FORZA ITALIA;452;;
PETROSINO;NUOVO CENTRO DESTRA - UDC;196;;
PETROSINO;L'ALTRA EUROPA CON TSIPRAS;25;;
PETROSINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
PETROSINO;ITALIA DEI VALORI;15;;
PETROSINO;SCELTA EUROPEA;10;;
PETROSINO;VERDI EUROPEI-GREEN ITALIA;5;;
PETROSINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
PETROSINO;IO CAMBIO - MAIE;3;;
POGGIOREALE;PARTITO DEMOCRATICO;277;;
POGGIOREALE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;186;;
POGGIOREALE;NUOVO CENTRO DESTRA - UDC;130;;
POGGIOREALE;FORZA ITALIA;44;;
POGGIOREALE;L'ALTRA EUROPA CON TSIPRAS;6;;
POGGIOREALE;ITALIA DEI VALORI;3;;
POGGIOREALE;IO CAMBIO - MAIE;3;;
POGGIOREALE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
POGGIOREALE;SCELTA EUROPEA;2;;
POGGIOREALE;VERDI EUROPEI-GREEN ITALIA;1;;
POGGIOREALE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
SALAPARUTA;PARTITO DEMOCRATICO;290;;
SALAPARUTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;284;;
SALAPARUTA;FORZA ITALIA;201;;
SALAPARUTA;NUOVO CENTRO DESTRA - UDC;111;;
SALAPARUTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
SALAPARUTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
SALAPARUTA;L'ALTRA EUROPA CON TSIPRAS;6;;
SALAPARUTA;SCELTA EUROPEA;5;;
SALAPARUTA;VERDI EUROPEI-GREEN ITALIA;4;;
SALAPARUTA;IO CAMBIO - MAIE;2;;
SALAPARUTA;ITALIA DEI VALORI;2;;
SALEMI;PARTITO DEMOCRATICO;1807;;
