

Ente;Liste/Gruppi;Voti;
MONTE ARGENTARIO;PARTITO DEMOCRATICO;2026;;
MONTE ARGENTARIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;995;;
MONTE ARGENTARIO;FORZA ITALIA;758;;
MONTE ARGENTARIO;NUOVO CENTRO DESTRA - UDC;716;;
MONTE ARGENTARIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;150;;
MONTE ARGENTARIO;L'ALTRA EUROPA CON TSIPRAS;129;;
MONTE ARGENTARIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;109;;
MONTE ARGENTARIO;ITALIA DEI VALORI;74;;
MONTE ARGENTARIO;VERDI EUROPEI-GREEN ITALIA;27;;
MONTE ARGENTARIO;SCELTA EUROPEA;27;;
MONTE ARGENTARIO;IO CAMBIO - MAIE;10;;
MONTEROTONDO MARITTIMO;PARTITO DEMOCRATICO;400;;
MONTEROTONDO MARITTIMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;107;;
MONTEROTONDO MARITTIMO;L'ALTRA EUROPA CON TSIPRAS;82;;
MONTEROTONDO MARITTIMO;FORZA ITALIA;66;;
MONTEROTONDO MARITTIMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;22;;
MONTEROTONDO MARITTIMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
MONTEROTONDO MARITTIMO;VERDI EUROPEI-GREEN ITALIA;10;;
MONTEROTONDO MARITTIMO;NUOVO CENTRO DESTRA - UDC;6;;
MONTEROTONDO MARITTIMO;SCELTA EUROPEA;3;;
MONTEROTONDO MARITTIMO;IO CAMBIO - MAIE;2;;
MONTEROTONDO MARITTIMO;ITALIA DEI VALORI;1;;
MONTIERI;PARTITO DEMOCRATICO;373;;
MONTIERI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;87;;
MONTIERI;FORZA ITALIA;43;;
MONTIERI;L'ALTRA EUROPA CON TSIPRAS;30;;
MONTIERI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
MONTIERI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
MONTIERI;NUOVO CENTRO DESTRA - UDC;10;;
MONTIERI;VERDI EUROPEI-GREEN ITALIA;5;;
MONTIERI;SCELTA EUROPEA;4;;
MONTIERI;IO CAMBIO - MAIE;2;;
MONTIERI;ITALIA DEI VALORI;1;;
ORBETELLO;PARTITO DEMOCRATICO;3066;;
ORBETELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1459;;
ORBETELLO;FORZA ITALIA;1090;;
ORBETELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;403;;
ORBETELLO;L'ALTRA EUROPA CON TSIPRAS;250;;
ORBETELLO;NUOVO CENTRO DESTRA - UDC;248;;
ORBETELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;178;;
ORBETELLO;VERDI EUROPEI-GREEN ITALIA;52;;
ORBETELLO;ITALIA DEI VALORI;37;;
ORBETELLO;SCELTA EUROPEA;24;;
ORBETELLO;IO CAMBIO - MAIE;13;;
PITIGLIANO;PARTITO DEMOCRATICO;1034;;
PITIGLIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;361;;
PITIGLIANO;FORZA ITALIA;203;;
PITIGLIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;128;;
PITIGLIANO;L'ALTRA EUROPA CON TSIPRAS;73;;
PITIGLIANO;NUOVO CENTRO DESTRA - UDC;43;;
PITIGLIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;34;;
PITIGLIANO;ITALIA DEI VALORI;20;;
PITIGLIANO;VERDI EUROPEI-GREEN ITALIA;6;;
PITIGLIANO;IO CAMBIO - MAIE;4;;
PITIGLIANO;SCELTA EUROPEA;3;;
ROCCALBEGNA;PARTITO DEMOCRATICO;169;;
ROCCALBEGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;93;;
ROCCALBEGNA;FORZA ITALIA;53;;
ROCCALBEGNA;L'ALTRA EUROPA CON TSIPRAS;37;;
ROCCALBEGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
ROCCALBEGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
ROCCALBEGNA;NUOVO CENTRO DESTRA - UDC;10;;
ROCCALBEGNA;IO CAMBIO - MAIE;2;;
ROCCALBEGNA;ITALIA DEI VALORI;2;;
ROCCALBEGNA;SCELTA EUROPEA;0;;
ROCCALBEGNA;VERDI EUROPEI-GREEN ITALIA;0;;
ROCCASTRADA;PARTITO DEMOCRATICO;2641;;
ROCCASTRADA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;857;;
ROCCASTRADA;FORZA ITALIA;642;;
ROCCASTRADA;L'ALTRA EUROPA CON TSIPRAS;225;;
ROCCASTRADA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;206;;
ROCCASTRADA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;160;;
ROCCASTRADA;NUOVO CENTRO DESTRA - UDC;73;;
ROCCASTRADA;VERDI EUROPEI-GREEN ITALIA;30;;
ROCCASTRADA;SCELTA EUROPEA;27;;
ROCCASTRADA;ITALIA DEI VALORI;25;;
ROCCASTRADA;IO CAMBIO - MAIE;14;;
SANTA FIORA;PARTITO DEMOCRATICO;770;;
SANTA FIORA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;304;;
SANTA FIORA;FORZA ITALIA;198;;
SANTA FIORA;L'ALTRA EUROPA CON TSIPRAS;115;;
SANTA FIORA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;74;;
SANTA FIORA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;67;;
SANTA FIORA;NUOVO CENTRO DESTRA - UDC;52;;
SANTA FIORA;VERDI EUROPEI-GREEN ITALIA;17;;
SANTA FIORA;SCELTA EUROPEA;4;;
SANTA FIORA;ITALIA DEI VALORI;4;;
SANTA FIORA;IO CAMBIO - MAIE;2;;
SCANSANO;PARTITO DEMOCRATICO;1025;;
SCANSANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;355;;
SCANSANO;FORZA ITALIA;251;;
SCANSANO;L'ALTRA EUROPA CON TSIPRAS;79;;
SCANSANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;68;;
SCANSANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;51;;
SCANSANO;NUOVO CENTRO DESTRA - UDC;44;;
SCANSANO;VERDI EUROPEI-GREEN ITALIA;16;;
SCANSANO;IO CAMBIO - MAIE;5;;
SCANSANO;SCELTA EUROPEA;4;;
SCANSANO;ITALIA DEI VALORI;2;;
SCARLINO;PARTITO DEMOCRATICO;1044;;
SCARLINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;451;;
SCARLINO;FORZA ITALIA;422;;
SCARLINO;L'ALTRA EUROPA CON TSIPRAS;110;;
SCARLINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;95;;
SCARLINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;56;;
SCARLINO;NUOVO CENTRO DESTRA - UDC;33;;
SCARLINO;ITALIA DEI VALORI;18;;
SCARLINO;VERDI EUROPEI-GREEN ITALIA;16;;
SCARLINO;SCELTA EUROPEA;14;;
SCARLINO;IO CAMBIO - MAIE;11;;
SEGGIANO;PARTITO DEMOCRATICO;259;;
SEGGIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;72;;
SEGGIANO;FORZA ITALIA;63;;
SEGGIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
SEGGIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;22;;
SEGGIANO;NUOVO CENTRO DESTRA - UDC;11;;
SEGGIANO;L'ALTRA EUROPA CON TSIPRAS;10;;
SEGGIANO;VERDI EUROPEI-GREEN ITALIA;7;;
SEGGIANO;ITALIA DEI VALORI;4;;
SEGGIANO;SCELTA EUROPEA;3;;
SEGGIANO;IO CAMBIO - MAIE;1;;
SEMPRONIANO;PARTITO DEMOCRATICO;289;;
SEMPRONIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;68;;
SEMPRONIANO;FORZA ITALIA;68;;
SEMPRONIANO;NUOVO CENTRO DESTRA - UDC;28;;
SEMPRONIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
SEMPRONIANO;L'ALTRA EUROPA CON TSIPRAS;21;;
SEMPRONIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
SEMPRONIANO;SCELTA EUROPEA;3;;
SEMPRONIANO;VERDI EUROPEI-GREEN ITALIA;2;;
