

Ente;Liste/Gruppi;Voti;
CICAGNA;FORZA ITALIA;160;;
CICAGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;98;;
CICAGNA;NUOVO CENTRO DESTRA - UDC;58;;
CICAGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;28;;
CICAGNA;L'ALTRA EUROPA CON TSIPRAS;22;;
CICAGNA;SCELTA EUROPEA;6;;
CICAGNA;ITALIA DEI VALORI;3;;
CICAGNA;VERDI EUROPEI-GREEN ITALIA;2;;
CICAGNA;IO CAMBIO - MAIE;0;;
COGOLETO;PARTITO DEMOCRATICO;2129;;
COGOLETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1425;;
COGOLETO;FORZA ITALIA;578;;
COGOLETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;284;;
COGOLETO;L'ALTRA EUROPA CON TSIPRAS;256;;
COGOLETO;NUOVO CENTRO DESTRA - UDC;120;;
COGOLETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;114;;
COGOLETO;VERDI EUROPEI-GREEN ITALIA;37;;
COGOLETO;ITALIA DEI VALORI;26;;
COGOLETO;SCELTA EUROPEA;20;;
COGOLETO;IO CAMBIO - MAIE;7;;
COGORNO;PARTITO DEMOCRATICO;1035;;
COGORNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;881;;
COGORNO;NUOVO CENTRO DESTRA - UDC;421;;
COGORNO;FORZA ITALIA;326;;
COGORNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;210;;
COGORNO;L'ALTRA EUROPA CON TSIPRAS;102;;
COGORNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;71;;
COGORNO;ITALIA DEI VALORI;47;;
COGORNO;VERDI EUROPEI-GREEN ITALIA;23;;
COGORNO;IO CAMBIO - MAIE;10;;
COGORNO;SCELTA EUROPEA;9;;
COREGLIA LIGURE;PARTITO DEMOCRATICO;64;;
COREGLIA LIGURE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;39;;
COREGLIA LIGURE;FORZA ITALIA;33;;
COREGLIA LIGURE;NUOVO CENTRO DESTRA - UDC;15;;
COREGLIA LIGURE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
COREGLIA LIGURE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
COREGLIA LIGURE;L'ALTRA EUROPA CON TSIPRAS;5;;
COREGLIA LIGURE;SCELTA EUROPEA;1;;
COREGLIA LIGURE;ITALIA DEI VALORI;0;;
COREGLIA LIGURE;VERDI EUROPEI-GREEN ITALIA;0;;
COREGLIA LIGURE;IO CAMBIO - MAIE;0;;
CROCEFIESCHI;PARTITO DEMOCRATICO;128;;
CROCEFIESCHI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;95;;
CROCEFIESCHI;FORZA ITALIA;51;;
CROCEFIESCHI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;35;;
CROCEFIESCHI;L'ALTRA EUROPA CON TSIPRAS;19;;
CROCEFIESCHI;NUOVO CENTRO DESTRA - UDC;17;;
CROCEFIESCHI;VERDI EUROPEI-GREEN ITALIA;6;;
CROCEFIESCHI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
CROCEFIESCHI;ITALIA DEI VALORI;2;;
CROCEFIESCHI;SCELTA EUROPEA;2;;
CROCEFIESCHI;IO CAMBIO - MAIE;1;;
DAVAGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;444;;
DAVAGNA;PARTITO DEMOCRATICO;410;;
DAVAGNA;FORZA ITALIA;127;;
DAVAGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;85;;
DAVAGNA;L'ALTRA EUROPA CON TSIPRAS;36;;
