

Ente;Liste/Gruppi;Voti;
FRANCICA;VERDI EUROPEI-GREEN ITALIA;2;;
FRANCICA;ITALIA DEI VALORI;1;;
FRANCICA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
FRANCICA;L'ALTRA EUROPA CON TSIPRAS;0;;
GEROCARNE;PARTITO DEMOCRATICO;267;;
GEROCARNE;NUOVO CENTRO DESTRA - UDC;223;;
GEROCARNE;FORZA ITALIA;110;;
GEROCARNE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;80;;
GEROCARNE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
GEROCARNE;L'ALTRA EUROPA CON TSIPRAS;16;;
GEROCARNE;SCELTA EUROPEA;3;;
GEROCARNE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
GEROCARNE;ITALIA DEI VALORI;3;;
GEROCARNE;IO CAMBIO - MAIE;0;;
GEROCARNE;VERDI EUROPEI-GREEN ITALIA;0;;
IONADI;FORZA ITALIA;462;;
IONADI;PARTITO DEMOCRATICO;388;;
IONADI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;229;;
IONADI;NUOVO CENTRO DESTRA - UDC;78;;
IONADI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;57;;
IONADI;L'ALTRA EUROPA CON TSIPRAS;27;;
IONADI;SCELTA EUROPEA;6;;
IONADI;ITALIA DEI VALORI;5;;
IONADI;VERDI EUROPEI-GREEN ITALIA;2;;
IONADI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
IONADI;IO CAMBIO - MAIE;0;;
JOPPOLO;PARTITO DEMOCRATICO;275;;
JOPPOLO;NUOVO CENTRO DESTRA - UDC;127;;
JOPPOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;68;;
JOPPOLO;FORZA ITALIA;58;;
JOPPOLO;L'ALTRA EUROPA CON TSIPRAS;17;;
JOPPOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
JOPPOLO;SCELTA EUROPEA;5;;
JOPPOLO;ITALIA DEI VALORI;2;;
JOPPOLO;IO CAMBIO - MAIE;1;;
