

Ente;Liste/Gruppi;Voti;
BATTUDA;SCELTA EUROPEA;3;;
BATTUDA;NUOVO CENTRO DESTRA - UDC;2;;
BATTUDA;ITALIA DEI VALORI;1;;
BATTUDA;IO CAMBIO - MAIE;1;;
BELGIOIOSO;PARTITO DEMOCRATICO;1323;;
BELGIOIOSO;FORZA ITALIA;566;;
BELGIOIOSO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;558;;
BELGIOIOSO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;492;;
BELGIOIOSO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;113;;
BELGIOIOSO;NUOVO CENTRO DESTRA - UDC;110;;
BELGIOIOSO;L'ALTRA EUROPA CON TSIPRAS;70;;
BELGIOIOSO;VERDI EUROPEI-GREEN ITALIA;46;;
BELGIOIOSO;ITALIA DEI VALORI;26;;
BELGIOIOSO;SCELTA EUROPEA;22;;
BELGIOIOSO;IO CAMBIO - MAIE;9;;
BEREGUARDO;PARTITO DEMOCRATICO;505;;
BEREGUARDO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;373;;
BEREGUARDO;FORZA ITALIA;313;;
BEREGUARDO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;265;;
BEREGUARDO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;40;;
BEREGUARDO;L'ALTRA EUROPA CON TSIPRAS;33;;
BEREGUARDO;NUOVO CENTRO DESTRA - UDC;29;;
BEREGUARDO;VERDI EUROPEI-GREEN ITALIA;23;;
BEREGUARDO;ITALIA DEI VALORI;12;;
BEREGUARDO;SCELTA EUROPEA;6;;
BEREGUARDO;IO CAMBIO - MAIE;3;;
BORGARELLO;PARTITO DEMOCRATICO;490;;
BORGARELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;264;;
BORGARELLO;FORZA ITALIA;157;;
BORGARELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;135;;
BORGARELLO;L'ALTRA EUROPA CON TSIPRAS;71;;
BORGARELLO;NUOVO CENTRO DESTRA - UDC;45;;
BORGARELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;39;;
BORGARELLO;VERDI EUROPEI-GREEN ITALIA;13;;
BORGARELLO;SCELTA EUROPEA;8;;
BORGARELLO;ITALIA DEI VALORI;4;;
BORGARELLO;IO CAMBIO - MAIE;1;;
BORGO PRIOLO;PARTITO DEMOCRATICO;280;;
BORGO PRIOLO;FORZA ITALIA;191;;
BORGO PRIOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;161;;
BORGO PRIOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;152;;
BORGO PRIOLO;L'ALTRA EUROPA CON TSIPRAS;23;;
BORGO PRIOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
BORGO PRIOLO;NUOVO CENTRO DESTRA - UDC;16;;
BORGO PRIOLO;VERDI EUROPEI-GREEN ITALIA;8;;
BORGO PRIOLO;ITALIA DEI VALORI;5;;
BORGO PRIOLO;SCELTA EUROPEA;3;;
BORGO PRIOLO;IO CAMBIO - MAIE;0;;
