

Ente;Liste/Gruppi;Voti;
FABBRICHE DI VERGEMOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;43;;
FABBRICHE DI VERGEMOLI;NUOVO CENTRO DESTRA - UDC;22;;
FABBRICHE DI VERGEMOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
FABBRICHE DI VERGEMOLI;L'ALTRA EUROPA CON TSIPRAS;13;;
FABBRICHE DI VERGEMOLI;SCELTA EUROPEA;4;;
FABBRICHE DI VERGEMOLI;ITALIA DEI VALORI;3;;
FABBRICHE DI VERGEMOLI;VERDI EUROPEI-GREEN ITALIA;2;;
FABBRICHE DI VERGEMOLI;IO CAMBIO - MAIE;1;;
FORTE DEI MARMI;PARTITO DEMOCRATICO;1458;;
FORTE DEI MARMI;FORZA ITALIA;814;;
FORTE DEI MARMI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;646;;
FORTE DEI MARMI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;203;;
FORTE DEI MARMI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;121;;
FORTE DEI MARMI;L'ALTRA EUROPA CON TSIPRAS;107;;
FORTE DEI MARMI;NUOVO CENTRO DESTRA - UDC;100;;
FORTE DEI MARMI;VERDI EUROPEI-GREEN ITALIA;32;;
FORTE DEI MARMI;SCELTA EUROPEA;27;;
FORTE DEI MARMI;ITALIA DEI VALORI;21;;
FORTE DEI MARMI;IO CAMBIO - MAIE;4;;
FOSCIANDORA;PARTITO DEMOCRATICO;185;;
FOSCIANDORA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;69;;
FOSCIANDORA;FORZA ITALIA;57;;
FOSCIANDORA;NUOVO CENTRO DESTRA - UDC;29;;
FOSCIANDORA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
FOSCIANDORA;L'ALTRA EUROPA CON TSIPRAS;12;;
FOSCIANDORA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
FOSCIANDORA;VERDI EUROPEI-GREEN ITALIA;7;;
FOSCIANDORA;ITALIA DEI VALORI;6;;
FOSCIANDORA;SCELTA EUROPEA;2;;
FOSCIANDORA;IO CAMBIO - MAIE;2;;
