

Ente;Liste/Gruppi;Voti;
CAPRAROLA;PARTITO DEMOCRATICO;993;;
CAPRAROLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;538;;
CAPRAROLA;FORZA ITALIA;390;;
CAPRAROLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;201;;
CAPRAROLA;NUOVO CENTRO DESTRA - UDC;168;;
CAPRAROLA;L'ALTRA EUROPA CON TSIPRAS;85;;
CAPRAROLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;47;;
CAPRAROLA;ITALIA DEI VALORI;12;;
CAPRAROLA;VERDI EUROPEI-GREEN ITALIA;8;;
CAPRAROLA;SCELTA EUROPEA;4;;
CAPRAROLA;IO CAMBIO - MAIE;2;;
CARBOGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;258;;
CARBOGNANO;PARTITO DEMOCRATICO;249;;
CARBOGNANO;FORZA ITALIA;165;;
CARBOGNANO;NUOVO CENTRO DESTRA - UDC;117;;
CARBOGNANO;L'ALTRA EUROPA CON TSIPRAS;47;;
CARBOGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;45;;
CARBOGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
CARBOGNANO;VERDI EUROPEI-GREEN ITALIA;7;;
CARBOGNANO;SCELTA EUROPEA;3;;
CARBOGNANO;IO CAMBIO - MAIE;3;;
CARBOGNANO;ITALIA DEI VALORI;2;;
CASTEL SANT'ELIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;379;;
CASTEL SANT'ELIA;PARTITO DEMOCRATICO;321;;
CASTEL SANT'ELIA;FORZA ITALIA;290;;
CASTEL SANT'ELIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;87;;
CASTEL SANT'ELIA;NUOVO CENTRO DESTRA - UDC;45;;
CASTEL SANT'ELIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
CASTEL SANT'ELIA;L'ALTRA EUROPA CON TSIPRAS;20;;
CASTEL SANT'ELIA;ITALIA DEI VALORI;6;;
CASTEL SANT'ELIA;VERDI EUROPEI-GREEN ITALIA;5;;
CASTEL SANT'ELIA;SCELTA EUROPEA;2;;
CASTEL SANT'ELIA;IO CAMBIO - MAIE;1;;
CASTIGLIONE IN TEVERINA;PARTITO DEMOCRATICO;670;;
CASTIGLIONE IN TEVERINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;280;;
CASTIGLIONE IN TEVERINA;FORZA ITALIA;141;;
CASTIGLIONE IN TEVERINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CASTIGLIONE IN TEVERINA;L'ALTRA EUROPA CON TSIPRAS;39;;
CASTIGLIONE IN TEVERINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;24;;
CASTIGLIONE IN TEVERINA;NUOVO CENTRO DESTRA - UDC;15;;
CASTIGLIONE IN TEVERINA;VERDI EUROPEI-GREEN ITALIA;10;;
CASTIGLIONE IN TEVERINA;ITALIA DEI VALORI;8;;
CASTIGLIONE IN TEVERINA;IO CAMBIO - MAIE;1;;
CASTIGLIONE IN TEVERINA;SCELTA EUROPEA;1;;
CELLENO;PARTITO DEMOCRATICO;375;;
CELLENO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;171;;
CELLENO;FORZA ITALIA;145;;
CELLENO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;44;;
CELLENO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;30;;
CELLENO;L'ALTRA EUROPA CON TSIPRAS;25;;
CELLENO;NUOVO CENTRO DESTRA - UDC;14;;
CELLENO;ITALIA DEI VALORI;8;;
CELLENO;SCELTA EUROPEA;4;;
CELLENO;VERDI EUROPEI-GREEN ITALIA;4;;
CELLENO;IO CAMBIO - MAIE;1;;
CELLERE;PARTITO DEMOCRATICO;285;;
CELLERE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;207;;
CELLERE;FORZA ITALIA;157;;
CELLERE;NUOVO CENTRO DESTRA - UDC;42;;
CELLERE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
CELLERE;L'ALTRA EUROPA CON TSIPRAS;21;;
CELLERE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;15;;
CELLERE;ITALIA DEI VALORI;6;;
CELLERE;SCELTA EUROPEA;3;;
CELLERE;VERDI EUROPEI-GREEN ITALIA;3;;
CELLERE;IO CAMBIO - MAIE;2;;
CIVITA CASTELLANA;PARTITO DEMOCRATICO;2974;;
CIVITA CASTELLANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2424;;
CIVITA CASTELLANA;FORZA ITALIA;1144;;
CIVITA CASTELLANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1114;;
CIVITA CASTELLANA;L'ALTRA EUROPA CON TSIPRAS;381;;
CIVITA CASTELLANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;171;;
CIVITA CASTELLANA;NUOVO CENTRO DESTRA - UDC;169;;
CIVITA CASTELLANA;ITALIA DEI VALORI;40;;
CIVITA CASTELLANA;VERDI EUROPEI-GREEN ITALIA;39;;
CIVITA CASTELLANA;SCELTA EUROPEA;26;;
CIVITA CASTELLANA;IO CAMBIO - MAIE;8;;
CIVITELLA D'AGLIANO;PARTITO DEMOCRATICO;462;;
CIVITELLA D'AGLIANO;FORZA ITALIA;204;;
CIVITELLA D'AGLIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;194;;
CIVITELLA D'AGLIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;94;;
CIVITELLA D'AGLIANO;L'ALTRA EUROPA CON TSIPRAS;58;;
CIVITELLA D'AGLIANO;NUOVO CENTRO DESTRA - UDC;29;;
CIVITELLA D'AGLIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;29;;
CIVITELLA D'AGLIANO;ITALIA DEI VALORI;13;;
CIVITELLA D'AGLIANO;VERDI EUROPEI-GREEN ITALIA;10;;
CIVITELLA D'AGLIANO;SCELTA EUROPEA;9;;
CIVITELLA D'AGLIANO;IO CAMBIO - MAIE;3;;
CORCHIANO;PARTITO DEMOCRATICO;562;;
CORCHIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;515;;
CORCHIANO;FORZA ITALIA;229;;
CORCHIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;101;;
CORCHIANO;L'ALTRA EUROPA CON TSIPRAS;76;;
CORCHIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;41;;
CORCHIANO;NUOVO CENTRO DESTRA - UDC;34;;
CORCHIANO;VERDI EUROPEI-GREEN ITALIA;10;;
CORCHIANO;ITALIA DEI VALORI;4;;
CORCHIANO;IO CAMBIO - MAIE;3;;
CORCHIANO;SCELTA EUROPEA;2;;
FABRICA DI ROMA;PARTITO DEMOCRATICO;1242;;
FABRICA DI ROMA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1118;;
FABRICA DI ROMA;FORZA ITALIA;670;;
FABRICA DI ROMA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;205;;
FABRICA DI ROMA;NUOVO CENTRO DESTRA - UDC;108;;
FABRICA DI ROMA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;83;;
FABRICA DI ROMA;L'ALTRA EUROPA CON TSIPRAS;72;;
FABRICA DI ROMA;VERDI EUROPEI-GREEN ITALIA;24;;
FABRICA DI ROMA;ITALIA DEI VALORI;19;;
FABRICA DI ROMA;SCELTA EUROPEA;6;;
FABRICA DI ROMA;IO CAMBIO - MAIE;6;;
FALERIA;PARTITO DEMOCRATICO;346;;
FALERIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;219;;
FALERIA;FORZA ITALIA;170;;
FALERIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;47;;
FALERIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;39;;
FALERIA;NUOVO CENTRO DESTRA - UDC;27;;
FALERIA;L'ALTRA EUROPA CON TSIPRAS;19;;
FALERIA;ITALIA DEI VALORI;9;;
FALERIA;VERDI EUROPEI-GREEN ITALIA;7;;
FALERIA;SCELTA EUROPEA;3;;
FALERIA;IO CAMBIO - MAIE;1;;
FARNESE;PARTITO DEMOCRATICO;328;;
FARNESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;263;;
FARNESE;FORZA ITALIA;179;;
FARNESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;64;;
FARNESE;L'ALTRA EUROPA CON TSIPRAS;49;;
FARNESE;NUOVO CENTRO DESTRA - UDC;31;;
FARNESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
FARNESE;ITALIA DEI VALORI;10;;
FARNESE;VERDI EUROPEI-GREEN ITALIA;9;;
FARNESE;IO CAMBIO - MAIE;2;;
FARNESE;SCELTA EUROPEA;1;;
GALLESE;PARTITO DEMOCRATICO;452;;
GALLESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;325;;
GALLESE;FORZA ITALIA;209;;
GALLESE;L'ALTRA EUROPA CON TSIPRAS;95;;
GALLESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;88;;
GALLESE;NUOVO CENTRO DESTRA - UDC;75;;
GALLESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;37;;
GALLESE;ITALIA DEI VALORI;6;;
GALLESE;SCELTA EUROPEA;5;;
GALLESE;VERDI EUROPEI-GREEN ITALIA;2;;
GALLESE;IO CAMBIO - MAIE;2;;
GRADOLI;PARTITO DEMOCRATICO;392;;
GRADOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;147;;
GRADOLI;FORZA ITALIA;147;;
GRADOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
GRADOLI;L'ALTRA EUROPA CON TSIPRAS;34;;
GRADOLI;NUOVO CENTRO DESTRA - UDC;31;;
GRADOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
GRADOLI;ITALIA DEI VALORI;6;;
GRADOLI;SCELTA EUROPEA;4;;
GRADOLI;VERDI EUROPEI-GREEN ITALIA;2;;
GRADOLI;IO CAMBIO - MAIE;0;;
GRAFFIGNANO;PARTITO DEMOCRATICO;487;;
GRAFFIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;388;;
GRAFFIGNANO;FORZA ITALIA;370;;
GRAFFIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;107;;
GRAFFIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;50;;
GRAFFIGNANO;NUOVO CENTRO DESTRA - UDC;32;;
GRAFFIGNANO;L'ALTRA EUROPA CON TSIPRAS;26;;
GRAFFIGNANO;VERDI EUROPEI-GREEN ITALIA;18;;
GRAFFIGNANO;ITALIA DEI VALORI;15;;
GRAFFIGNANO;SCELTA EUROPEA;2;;
GRAFFIGNANO;IO CAMBIO - MAIE;1;;
GROTTE DI CASTRO;FORZA ITALIA;564;;
GROTTE DI CASTRO;PARTITO DEMOCRATICO;549;;
GROTTE DI CASTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;285;;
GROTTE DI CASTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;115;;
GROTTE DI CASTRO;NUOVO CENTRO DESTRA - UDC;54;;
GROTTE DI CASTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;45;;
GROTTE DI CASTRO;L'ALTRA EUROPA CON TSIPRAS;37;;
GROTTE DI CASTRO;VERDI EUROPEI-GREEN ITALIA;9;;
GROTTE DI CASTRO;SCELTA EUROPEA;5;;
GROTTE DI CASTRO;ITALIA DEI VALORI;5;;
GROTTE DI CASTRO;IO CAMBIO - MAIE;2;;
ISCHIA DI CASTRO;PARTITO DEMOCRATICO;535;;
ISCHIA DI CASTRO;FORZA ITALIA;361;;
ISCHIA DI CASTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;355;;
ISCHIA DI CASTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;90;;
ISCHIA DI CASTRO;NUOVO CENTRO DESTRA - UDC;72;;
ISCHIA DI CASTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;44;;
ISCHIA DI CASTRO;SCELTA EUROPEA;19;;
ISCHIA DI CASTRO;L'ALTRA EUROPA CON TSIPRAS;14;;
ISCHIA DI CASTRO;ITALIA DEI VALORI;9;;
ISCHIA DI CASTRO;VERDI EUROPEI-GREEN ITALIA;8;;
ISCHIA DI CASTRO;IO CAMBIO - MAIE;3;;
