

Ente;Liste/Gruppi;Voti;
BASTIA MONDOVI';ITALIA DEI VALORI;1;;
BASTIA MONDOVI';SCELTA EUROPEA;1;;
BATTIFOLLO;PARTITO DEMOCRATICO;62;;
BATTIFOLLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;26;;
BATTIFOLLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;17;;
BATTIFOLLO;FORZA ITALIA;11;;
BATTIFOLLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
BATTIFOLLO;SCELTA EUROPEA;4;;
BATTIFOLLO;NUOVO CENTRO DESTRA - UDC;3;;
BATTIFOLLO;VERDI EUROPEI-GREEN ITALIA;2;;
BATTIFOLLO;ITALIA DEI VALORI;1;;
BATTIFOLLO;L'ALTRA EUROPA CON TSIPRAS;1;;
BATTIFOLLO;IO CAMBIO - MAIE;0;;
BEINETTE;PARTITO DEMOCRATICO;662;;
BEINETTE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;331;;
BEINETTE;FORZA ITALIA;228;;
BEINETTE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;178;;
BEINETTE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;86;;
BEINETTE;NUOVO CENTRO DESTRA - UDC;69;;
BEINETTE;L'ALTRA EUROPA CON TSIPRAS;41;;
BEINETTE;ITALIA DEI VALORI;23;;
BEINETTE;VERDI EUROPEI-GREEN ITALIA;20;;
BEINETTE;SCELTA EUROPEA;18;;
BEINETTE;IO CAMBIO - MAIE;3;;
BELLINO;PARTITO DEMOCRATICO;21;;
BELLINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;13;;
BELLINO;FORZA ITALIA;7;;
BELLINO;NUOVO CENTRO DESTRA - UDC;6;;
BELLINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4;;
BELLINO;L'ALTRA EUROPA CON TSIPRAS;2;;
BELLINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2;;
BELLINO;VERDI EUROPEI-GREEN ITALIA;1;;
BELLINO;IO CAMBIO - MAIE;0;;
BELLINO;ITALIA DEI VALORI;0;;
BELLINO;SCELTA EUROPEA;0;;
BELVEDERE LANGHE;PARTITO DEMOCRATICO;60;;
