Ente,Liste/Gruppi,Voti,nomefile
TROINA,L'ALTRA EUROPA CON TSIPRAS,136,ENNA
TROINA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,59,ENNA
TROINA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,46,ENNA
TROINA,SCELTA EUROPEA,16,ENNA
TROINA,ITALIA DEI VALORI,10,ENNA
TROINA,VERDI EUROPEI-GREEN ITALIA,7,ENNA
TROINA,IO CAMBIO - MAIE,6,ENNA
VALGUARNERA CAROPEPE,PARTITO DEMOCRATICO,1007,ENNA
VALGUARNERA CAROPEPE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,521,ENNA
VALGUARNERA CAROPEPE,FORZA ITALIA,458,ENNA
VALGUARNERA CAROPEPE,NUOVO CENTRO DESTRA - UDC,366,ENNA
VALGUARNERA CAROPEPE,L'ALTRA EUROPA CON TSIPRAS,167,ENNA
VALGUARNERA CAROPEPE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,31,ENNA
VALGUARNERA CAROPEPE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,ENNA
VALGUARNERA CAROPEPE,ITALIA DEI VALORI,18,ENNA
VALGUARNERA CAROPEPE,VERDI EUROPEI-GREEN ITALIA,9,ENNA
VALGUARNERA CAROPEPE,SCELTA EUROPEA,7,ENNA
VALGUARNERA CAROPEPE,IO CAMBIO - MAIE,2,ENNA
VILLAROSA,PARTITO DEMOCRATICO,757,ENNA
VILLAROSA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,327,ENNA
VILLAROSA,FORZA ITALIA,263,ENNA
VILLAROSA,NUOVO CENTRO DESTRA - UDC,131,ENNA
VILLAROSA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,64,ENNA
VILLAROSA,L'ALTRA EUROPA CON TSIPRAS,42,ENNA
VILLAROSA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,25,ENNA
VILLAROSA,ITALIA DEI VALORI,7,ENNA
VILLAROSA,VERDI EUROPEI-GREEN ITALIA,5,ENNA
VILLAROSA,IO CAMBIO - MAIE,4,ENNA
VILLAROSA,SCELTA EUROPEA,4,ENNA
