Ente,Liste/Gruppi,Voti,nomefile
CHIAVARI,IO CAMBIO - MAIE,24,GENOVA
CICAGNA,PARTITO DEMOCRATICO,280,GENOVA
CICAGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,279,GENOVA
CICAGNA,FORZA ITALIA,160,GENOVA
CICAGNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,98,GENOVA
CICAGNA,NUOVO CENTRO DESTRA - UDC,58,GENOVA
CICAGNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,28,GENOVA
CICAGNA,L'ALTRA EUROPA CON TSIPRAS,22,GENOVA
CICAGNA,SCELTA EUROPEA,6,GENOVA
CICAGNA,ITALIA DEI VALORI,3,GENOVA
CICAGNA,VERDI EUROPEI-GREEN ITALIA,2,GENOVA
CICAGNA,IO CAMBIO - MAIE,0,GENOVA
COGOLETO,PARTITO DEMOCRATICO,2129,GENOVA
COGOLETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1425,GENOVA
COGOLETO,FORZA ITALIA,578,GENOVA
COGOLETO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,284,GENOVA
COGOLETO,L'ALTRA EUROPA CON TSIPRAS,256,GENOVA
COGOLETO,NUOVO CENTRO DESTRA - UDC,120,GENOVA
COGOLETO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,114,GENOVA
COGOLETO,VERDI EUROPEI-GREEN ITALIA,37,GENOVA
COGOLETO,ITALIA DEI VALORI,26,GENOVA
COGOLETO,SCELTA EUROPEA,20,GENOVA
COGOLETO,IO CAMBIO - MAIE,7,GENOVA
COGORNO,PARTITO DEMOCRATICO,1035,GENOVA
COGORNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,881,GENOVA
COGORNO,NUOVO CENTRO DESTRA - UDC,421,GENOVA
COGORNO,FORZA ITALIA,326,GENOVA
COGORNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,210,GENOVA
COGORNO,L'ALTRA EUROPA CON TSIPRAS,102,GENOVA
COGORNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,71,GENOVA
COGORNO,ITALIA DEI VALORI,47,GENOVA
