Ente,Liste/Gruppi,Voti,nomefile
CARBONARA DI PO,NUOVO CENTRO DESTRA - UDC,23,MANTOVA
CARBONARA DI PO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,10,MANTOVA
CARBONARA DI PO,L'ALTRA EUROPA CON TSIPRAS,9,MANTOVA
CARBONARA DI PO,ITALIA DEI VALORI,7,MANTOVA
CARBONARA DI PO,VERDI EUROPEI-GREEN ITALIA,3,MANTOVA
CARBONARA DI PO,SCELTA EUROPEA,3,MANTOVA
CARBONARA DI PO,IO CAMBIO - MAIE,1,MANTOVA
CASALMORO,PARTITO DEMOCRATICO,450,MANTOVA
CASALMORO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,188,MANTOVA
CASALMORO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,166,MANTOVA
CASALMORO,FORZA ITALIA,154,MANTOVA
CASALMORO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,46,MANTOVA
CASALMORO,NUOVO CENTRO DESTRA - UDC,21,MANTOVA
CASALMORO,ITALIA DEI VALORI,13,MANTOVA
CASALMORO,L'ALTRA EUROPA CON TSIPRAS,10,MANTOVA
CASALMORO,VERDI EUROPEI-GREEN ITALIA,8,MANTOVA
CASALMORO,SCELTA EUROPEA,8,MANTOVA
CASALMORO,IO CAMBIO - MAIE,3,MANTOVA
CASALOLDO,PARTITO DEMOCRATICO,467,MANTOVA
CASALOLDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,271,MANTOVA
CASALOLDO,FORZA ITALIA,235,MANTOVA
CASALOLDO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,232,MANTOVA
CASALOLDO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,51,MANTOVA
CASALOLDO,NUOVO CENTRO DESTRA - UDC,34,MANTOVA
CASALOLDO,ITALIA DEI VALORI,19,MANTOVA
CASALOLDO,L'ALTRA EUROPA CON TSIPRAS,17,MANTOVA
CASALOLDO,VERDI EUROPEI-GREEN ITALIA,8,MANTOVA
CASALOLDO,SCELTA EUROPEA,6,MANTOVA
CASALOLDO,IO CAMBIO - MAIE,4,MANTOVA
CASALROMANO,PARTITO DEMOCRATICO,290,MANTOVA
CASALROMANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,153,MANTOVA
