Ente,Liste/Gruppi,Voti,nomefile
BASSANO BRESCIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,274,BRESCIA
BASSANO BRESCIANO,FORZA ITALIA,208,BRESCIA
BASSANO BRESCIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,145,BRESCIA
BASSANO BRESCIANO,NUOVO CENTRO DESTRA - UDC,70,BRESCIA
BASSANO BRESCIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,39,BRESCIA
BASSANO BRESCIANO,L'ALTRA EUROPA CON TSIPRAS,15,BRESCIA
BASSANO BRESCIANO,VERDI EUROPEI-GREEN ITALIA,9,BRESCIA
BASSANO BRESCIANO,ITALIA DEI VALORI,7,BRESCIA
BASSANO BRESCIANO,SCELTA EUROPEA,7,BRESCIA
BASSANO BRESCIANO,IO CAMBIO - MAIE,6,BRESCIA
BEDIZZOLE,PARTITO DEMOCRATICO,2181,BRESCIA
BEDIZZOLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1199,BRESCIA
BEDIZZOLE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1131,BRESCIA
BEDIZZOLE,FORZA ITALIA,924,BRESCIA
BEDIZZOLE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,278,BRESCIA
BEDIZZOLE,NUOVO CENTRO DESTRA - UDC,178,BRESCIA
BEDIZZOLE,L'ALTRA EUROPA CON TSIPRAS,176,BRESCIA
BEDIZZOLE,VERDI EUROPEI-GREEN ITALIA,51,BRESCIA
BEDIZZOLE,ITALIA DEI VALORI,36,BRESCIA
BEDIZZOLE,SCELTA EUROPEA,28,BRESCIA
BEDIZZOLE,IO CAMBIO - MAIE,18,BRESCIA
BERLINGO,PARTITO DEMOCRATICO,412,BRESCIA
BERLINGO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,259,BRESCIA
BERLINGO,FORZA ITALIA,210,BRESCIA
BERLINGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,205,BRESCIA
BERLINGO,NUOVO CENTRO DESTRA - UDC,29,BRESCIA
BERLINGO,L'ALTRA EUROPA CON TSIPRAS,24,BRESCIA
BERLINGO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,19,BRESCIA
BERLINGO,ITALIA DEI VALORI,8,BRESCIA
BERLINGO,SCELTA EUROPEA,3,BRESCIA
BERLINGO,VERDI EUROPEI-GREEN ITALIA,1,BRESCIA
BERLINGO,IO CAMBIO - MAIE,1,BRESCIA
BERZO DEMO,PARTITO DEMOCRATICO,406,BRESCIA
BERZO DEMO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,331,BRESCIA
BERZO DEMO,FORZA ITALIA,179,BRESCIA
BERZO DEMO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,128,BRESCIA
BERZO DEMO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,37,BRESCIA
BERZO DEMO,NUOVO CENTRO DESTRA - UDC,28,BRESCIA
BERZO DEMO,L'ALTRA EUROPA CON TSIPRAS,23,BRESCIA
BERZO DEMO,VERDI EUROPEI-GREEN ITALIA,13,BRESCIA
BERZO DEMO,ITALIA DEI VALORI,11,BRESCIA
BERZO DEMO,SCELTA EUROPEA,3,BRESCIA
BERZO DEMO,IO CAMBIO - MAIE,1,BRESCIA
BERZO INFERIORE,PARTITO DEMOCRATICO,330,BRESCIA
BERZO INFERIORE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,294,BRESCIA
BERZO INFERIORE,FORZA ITALIA,217,BRESCIA
BERZO INFERIORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,84,BRESCIA
BERZO INFERIORE,NUOVO CENTRO DESTRA - UDC,78,BRESCIA
BERZO INFERIORE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,27,BRESCIA
BERZO INFERIORE,L'ALTRA EUROPA CON TSIPRAS,18,BRESCIA
BERZO INFERIORE,VERDI EUROPEI-GREEN ITALIA,14,BRESCIA
BERZO INFERIORE,ITALIA DEI VALORI,9,BRESCIA
BERZO INFERIORE,IO CAMBIO - MAIE,3,BRESCIA
BERZO INFERIORE,SCELTA EUROPEA,2,BRESCIA
BIENNO,PARTITO DEMOCRATICO,684,BRESCIA
BIENNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,453,BRESCIA
BIENNO,FORZA ITALIA,306,BRESCIA
BIENNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,151,BRESCIA
BIENNO,NUOVO CENTRO DESTRA - UDC,52,BRESCIA
BIENNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,42,BRESCIA
BIENNO,L'ALTRA EUROPA CON TSIPRAS,32,BRESCIA
BIENNO,VERDI EUROPEI-GREEN ITALIA,10,BRESCIA
BIENNO,SCELTA EUROPEA,6,BRESCIA
BIENNO,ITALIA DEI VALORI,4,BRESCIA
BIENNO,IO CAMBIO - MAIE,2,BRESCIA
BIONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,293,BRESCIA
BIONE,PARTITO DEMOCRATICO,268,BRESCIA
BIONE,FORZA ITALIA,131,BRESCIA
BIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,80,BRESCIA
BIONE,NUOVO CENTRO DESTRA - UDC,27,BRESCIA
BIONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,26,BRESCIA
BIONE,L'ALTRA EUROPA CON TSIPRAS,4,BRESCIA
BIONE,SCELTA EUROPEA,3,BRESCIA
BIONE,ITALIA DEI VALORI,2,BRESCIA
BIONE,VERDI EUROPEI-GREEN ITALIA,2,BRESCIA
BIONE,IO CAMBIO - MAIE,0,BRESCIA
BORGO SAN GIACOMO,PARTITO DEMOCRATICO,940,BRESCIA
BORGO SAN GIACOMO,FORZA ITALIA,683,BRESCIA
BORGO SAN GIACOMO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,560,BRESCIA
BORGO SAN GIACOMO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,389,BRESCIA
BORGO SAN GIACOMO,NUOVO CENTRO DESTRA - UDC,118,BRESCIA
BORGO SAN GIACOMO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,78,BRESCIA
BORGO SAN GIACOMO,L'ALTRA EUROPA CON TSIPRAS,70,BRESCIA
BORGO SAN GIACOMO,VERDI EUROPEI-GREEN ITALIA,30,BRESCIA
BORGO SAN GIACOMO,ITALIA DEI VALORI,22,BRESCIA
BORGO SAN GIACOMO,SCELTA EUROPEA,20,BRESCIA
BORGO SAN GIACOMO,IO CAMBIO - MAIE,9,BRESCIA
BORGOSATOLLO,PARTITO DEMOCRATICO,1948,BRESCIA
BORGOSATOLLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1027,BRESCIA
BORGOSATOLLO,FORZA ITALIA,840,BRESCIA
BORGOSATOLLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,757,BRESCIA
BORGOSATOLLO,NUOVO CENTRO DESTRA - UDC,156,BRESCIA
BORGOSATOLLO,L'ALTRA EUROPA CON TSIPRAS,131,BRESCIA
BORGOSATOLLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,95,BRESCIA
BORGOSATOLLO,VERDI EUROPEI-GREEN ITALIA,43,BRESCIA
BORGOSATOLLO,ITALIA DEI VALORI,35,BRESCIA
BORGOSATOLLO,SCELTA EUROPEA,18,BRESCIA
BORGOSATOLLO,IO CAMBIO - MAIE,7,BRESCIA
BORNO,PARTITO DEMOCRATICO,380,BRESCIA
BORNO,FORZA ITALIA,280,BRESCIA
BORNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,239,BRESCIA
BORNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,148,BRESCIA
BORNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,106,BRESCIA
BORNO,NUOVO CENTRO DESTRA - UDC,43,BRESCIA
BORNO,L'ALTRA EUROPA CON TSIPRAS,18,BRESCIA
BORNO,VERDI EUROPEI-GREEN ITALIA,9,BRESCIA
BORNO,SCELTA EUROPEA,6,BRESCIA
BORNO,ITALIA DEI VALORI,4,BRESCIA
BORNO,IO CAMBIO - MAIE,1,BRESCIA
BOTTICINO,PARTITO DEMOCRATICO,2607,BRESCIA
BOTTICINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1021,BRESCIA
BOTTICINO,FORZA ITALIA,936,BRESCIA
BOTTICINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,835,BRESCIA
BOTTICINO,L'ALTRA EUROPA CON TSIPRAS,235,BRESCIA
BOTTICINO,NUOVO CENTRO DESTRA - UDC,197,BRESCIA
BOTTICINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,160,BRESCIA
BOTTICINO,VERDI EUROPEI-GREEN ITALIA,77,BRESCIA
BOTTICINO,SCELTA EUROPEA,59,BRESCIA
BOTTICINO,ITALIA DEI VALORI,32,BRESCIA
BOTTICINO,IO CAMBIO - MAIE,18,BRESCIA
BOVEGNO,PARTITO DEMOCRATICO,314,BRESCIA
BOVEGNO,FORZA ITALIA,248,BRESCIA
BOVEGNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,228,BRESCIA
BOVEGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,119,BRESCIA
BOVEGNO,L'ALTRA EUROPA CON TSIPRAS,36,BRESCIA
BOVEGNO,NUOVO CENTRO DESTRA - UDC,31,BRESCIA
BOVEGNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,22,BRESCIA
BOVEGNO,VERDI EUROPEI-GREEN ITALIA,6,BRESCIA
BOVEGNO,ITALIA DEI VALORI,4,BRESCIA
BOVEGNO,SCELTA EUROPEA,1,BRESCIA
BOVEGNO,IO CAMBIO - MAIE,0,BRESCIA
BOVEZZO,PARTITO DEMOCRATICO,1991,BRESCIA
BOVEZZO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,676,BRESCIA
BOVEZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,619,BRESCIA
BOVEZZO,FORZA ITALIA,538,BRESCIA
BOVEZZO,L'ALTRA EUROPA CON TSIPRAS,199,BRESCIA
BOVEZZO,NUOVO CENTRO DESTRA - UDC,111,BRESCIA
BOVEZZO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,108,BRESCIA
BOVEZZO,VERDI EUROPEI-GREEN ITALIA,55,BRESCIA
BOVEZZO,ITALIA DEI VALORI,37,BRESCIA
BOVEZZO,SCELTA EUROPEA,25,BRESCIA
BOVEZZO,IO CAMBIO - MAIE,3,BRESCIA
BRANDICO,PARTITO DEMOCRATICO,315,BRESCIA
BRANDICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,181,BRESCIA
BRANDICO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,171,BRESCIA
BRANDICO,FORZA ITALIA,128,BRESCIA
BRANDICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,31,BRESCIA
BRANDICO,NUOVO CENTRO DESTRA - UDC,27,BRESCIA
BRANDICO,L'ALTRA EUROPA CON TSIPRAS,17,BRESCIA
BRANDICO,VERDI EUROPEI-GREEN ITALIA,5,BRESCIA
BRANDICO,SCELTA EUROPEA,4,BRESCIA
BRANDICO,ITALIA DEI VALORI,3,BRESCIA
BRANDICO,IO CAMBIO - MAIE,1,BRESCIA
BRAONE,PARTITO DEMOCRATICO,149,BRESCIA
BRAONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,75,BRESCIA
BRAONE,FORZA ITALIA,58,BRESCIA
BRAONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,39,BRESCIA
BRAONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,20,BRESCIA
BRAONE,NUOVO CENTRO DESTRA - UDC,8,BRESCIA
BRAONE,L'ALTRA EUROPA CON TSIPRAS,7,BRESCIA
BRAONE,VERDI EUROPEI-GREEN ITALIA,2,BRESCIA
BRAONE,IO CAMBIO - MAIE,0,BRESCIA
BRAONE,ITALIA DEI VALORI,0,BRESCIA
BRAONE,SCELTA EUROPEA,0,BRESCIA
BRENO,PARTITO DEMOCRATICO,1252,BRESCIA
BRENO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,676,BRESCIA
BRENO,FORZA ITALIA,561,BRESCIA
BRENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,297,BRESCIA
BRENO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,94,BRESCIA
