Ente,Liste/Gruppi,Voti,nomefile
ORIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,188,BRINDISI
ORIA,L'ALTRA EUROPA CON TSIPRAS,94,BRINDISI
ORIA,ITALIA DEI VALORI,32,BRINDISI
ORIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,29,BRINDISI
ORIA,SCELTA EUROPEA,20,BRINDISI
ORIA,VERDI EUROPEI-GREEN ITALIA,19,BRINDISI
ORIA,IO CAMBIO - MAIE,5,BRINDISI
OSTUNI,PARTITO DEMOCRATICO,6177,BRINDISI
OSTUNI,FORZA ITALIA,5375,BRINDISI
OSTUNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3312,BRINDISI
OSTUNI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,1172,BRINDISI
OSTUNI,L'ALTRA EUROPA CON TSIPRAS,970,BRINDISI
OSTUNI,NUOVO CENTRO DESTRA - UDC,857,BRINDISI
OSTUNI,ITALIA DEI VALORI,277,BRINDISI
OSTUNI,VERDI EUROPEI-GREEN ITALIA,187,BRINDISI
OSTUNI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,140,BRINDISI
OSTUNI,SCELTA EUROPEA,134,BRINDISI
OSTUNI,IO CAMBIO - MAIE,107,BRINDISI
SAN DONACI,PARTITO DEMOCRATICO,1054,BRINDISI
SAN DONACI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,508,BRINDISI
SAN DONACI,FORZA ITALIA,418,BRINDISI
SAN DONACI,NUOVO CENTRO DESTRA - UDC,108,BRINDISI
SAN DONACI,L'ALTRA EUROPA CON TSIPRAS,64,BRINDISI
SAN DONACI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,45,BRINDISI
SAN DONACI,SCELTA EUROPEA,22,BRINDISI
SAN DONACI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,BRINDISI
SAN DONACI,ITALIA DEI VALORI,14,BRINDISI
SAN DONACI,VERDI EUROPEI-GREEN ITALIA,10,BRINDISI
SAN DONACI,IO CAMBIO - MAIE,5,BRINDISI
SAN MICHELE SALENTINO,FORZA ITALIA,590,BRINDISI
SAN MICHELE SALENTINO,PARTITO DEMOCRATICO,581,BRINDISI
SAN MICHELE SALENTINO,NUOVO CENTRO DESTRA - UDC,463,BRINDISI
SAN MICHELE SALENTINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,412,BRINDISI
SAN MICHELE SALENTINO,L'ALTRA EUROPA CON TSIPRAS,56,BRINDISI
SAN MICHELE SALENTINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,21,BRINDISI
SAN MICHELE SALENTINO,SCELTA EUROPEA,15,BRINDISI
SAN MICHELE SALENTINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,BRINDISI
SAN MICHELE SALENTINO,ITALIA DEI VALORI,9,BRINDISI
SAN MICHELE SALENTINO,VERDI EUROPEI-GREEN ITALIA,4,BRINDISI
SAN MICHELE SALENTINO,IO CAMBIO - MAIE,3,BRINDISI
SAN PANCRAZIO SALENTINO,PARTITO DEMOCRATICO,1674,BRINDISI
SAN PANCRAZIO SALENTINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,865,BRINDISI
SAN PANCRAZIO SALENTINO,FORZA ITALIA,508,BRINDISI
SAN PANCRAZIO SALENTINO,NUOVO CENTRO DESTRA - UDC,373,BRINDISI
SAN PANCRAZIO SALENTINO,L'ALTRA EUROPA CON TSIPRAS,234,BRINDISI
SAN PANCRAZIO SALENTINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,170,BRINDISI
SAN PANCRAZIO SALENTINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,20,BRINDISI
SAN PANCRAZIO SALENTINO,VERDI EUROPEI-GREEN ITALIA,19,BRINDISI
SAN PANCRAZIO SALENTINO,ITALIA DEI VALORI,14,BRINDISI
SAN PANCRAZIO SALENTINO,SCELTA EUROPEA,6,BRINDISI
SAN PANCRAZIO SALENTINO,IO CAMBIO - MAIE,1,BRINDISI
SAN PIETRO VERNOTICO,PARTITO DEMOCRATICO,2001,BRINDISI
SAN PIETRO VERNOTICO,FORZA ITALIA,1293,BRINDISI
SAN PIETRO VERNOTICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1160,BRINDISI
SAN PIETRO VERNOTICO,NUOVO CENTRO DESTRA - UDC,258,BRINDISI
SAN PIETRO VERNOTICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,124,BRINDISI
SAN PIETRO VERNOTICO,L'ALTRA EUROPA CON TSIPRAS,105,BRINDISI
SAN PIETRO VERNOTICO,SCELTA EUROPEA,27,BRINDISI
SAN PIETRO VERNOTICO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,21,BRINDISI
SAN PIETRO VERNOTICO,VERDI EUROPEI-GREEN ITALIA,11,BRINDISI
SAN PIETRO VERNOTICO,ITALIA DEI VALORI,10,BRINDISI
SAN PIETRO VERNOTICO,IO CAMBIO - MAIE,3,BRINDISI
SAN VITO DEI NORMANNI,PARTITO DEMOCRATICO,2259,BRINDISI
SAN VITO DEI NORMANNI,FORZA ITALIA,2081,BRINDISI
SAN VITO DEI NORMANNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1466,BRINDISI
SAN VITO DEI NORMANNI,NUOVO CENTRO DESTRA - UDC,619,BRINDISI
SAN VITO DEI NORMANNI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,507,BRINDISI
SAN VITO DEI NORMANNI,L'ALTRA EUROPA CON TSIPRAS,251,BRINDISI
SAN VITO DEI NORMANNI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,42,BRINDISI
SAN VITO DEI NORMANNI,SCELTA EUROPEA,41,BRINDISI
SAN VITO DEI NORMANNI,ITALIA DEI VALORI,38,BRINDISI
SAN VITO DEI NORMANNI,VERDI EUROPEI-GREEN ITALIA,27,BRINDISI
SAN VITO DEI NORMANNI,IO CAMBIO - MAIE,6,BRINDISI
TORCHIAROLO,PARTITO DEMOCRATICO,572,BRINDISI
TORCHIAROLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,420,BRINDISI
TORCHIAROLO,FORZA ITALIA,363,BRINDISI
TORCHIAROLO,NUOVO CENTRO DESTRA - UDC,233,BRINDISI
TORCHIAROLO,L'ALTRA EUROPA CON TSIPRAS,55,BRINDISI
TORCHIAROLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,27,BRINDISI
TORCHIAROLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,11,BRINDISI
TORCHIAROLO,ITALIA DEI VALORI,10,BRINDISI
TORCHIAROLO,VERDI EUROPEI-GREEN ITALIA,9,BRINDISI
TORCHIAROLO,SCELTA EUROPEA,9,BRINDISI
TORCHIAROLO,IO CAMBIO - MAIE,2,BRINDISI
TORRE SANTA SUSANNA,PARTITO DEMOCRATICO,1066,BRINDISI
TORRE SANTA SUSANNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1008,BRINDISI
TORRE SANTA SUSANNA,FORZA ITALIA,766,BRINDISI
TORRE SANTA SUSANNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,632,BRINDISI
TORRE SANTA SUSANNA,L'ALTRA EUROPA CON TSIPRAS,160,BRINDISI
TORRE SANTA SUSANNA,NUOVO CENTRO DESTRA - UDC,140,BRINDISI
TORRE SANTA SUSANNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,29,BRINDISI
TORRE SANTA SUSANNA,SCELTA EUROPEA,23,BRINDISI
TORRE SANTA SUSANNA,VERDI EUROPEI-GREEN ITALIA,14,BRINDISI
TORRE SANTA SUSANNA,ITALIA DEI VALORI,14,BRINDISI
TORRE SANTA SUSANNA,IO CAMBIO - MAIE,13,BRINDISI
VILLA CASTELLI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1367,BRINDISI
VILLA CASTELLI,ITALIA DEI VALORI,1295,BRINDISI
VILLA CASTELLI,FORZA ITALIA,1161,BRINDISI
VILLA CASTELLI,PARTITO DEMOCRATICO,696,BRINDISI
VILLA CASTELLI,NUOVO CENTRO DESTRA - UDC,380,BRINDISI
VILLA CASTELLI,L'ALTRA EUROPA CON TSIPRAS,230,BRINDISI
VILLA CASTELLI,SCELTA EUROPEA,114,BRINDISI
VILLA CASTELLI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,102,BRINDISI
VILLA CASTELLI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,38,BRINDISI
VILLA CASTELLI,VERDI EUROPEI-GREEN ITALIA,25,BRINDISI
VILLA CASTELLI,IO CAMBIO - MAIE,14,BRINDISI
