Ente,Liste/Gruppi,Voti,nomefile
FILADELFIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,361,VIBO VALENTIA
FILADELFIA,NUOVO CENTRO DESTRA - UDC,292,VIBO VALENTIA
FILADELFIA,FORZA ITALIA,263,VIBO VALENTIA
FILADELFIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,48,VIBO VALENTIA
FILADELFIA,L'ALTRA EUROPA CON TSIPRAS,30,VIBO VALENTIA
FILADELFIA,SCELTA EUROPEA,17,VIBO VALENTIA
FILADELFIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,11,VIBO VALENTIA
FILADELFIA,ITALIA DEI VALORI,5,VIBO VALENTIA
FILADELFIA,IO CAMBIO - MAIE,4,VIBO VALENTIA
FILADELFIA,VERDI EUROPEI-GREEN ITALIA,2,VIBO VALENTIA
FILANDARI,FORZA ITALIA,407,VIBO VALENTIA
FILANDARI,PARTITO DEMOCRATICO,254,VIBO VALENTIA
FILANDARI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,161,VIBO VALENTIA
FILANDARI,NUOVO CENTRO DESTRA - UDC,118,VIBO VALENTIA
FILANDARI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,42,VIBO VALENTIA
FILANDARI,L'ALTRA EUROPA CON TSIPRAS,12,VIBO VALENTIA
FILANDARI,ITALIA DEI VALORI,9,VIBO VALENTIA
FILANDARI,SCELTA EUROPEA,5,VIBO VALENTIA
FILANDARI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,3,VIBO VALENTIA
FILANDARI,IO CAMBIO - MAIE,3,VIBO VALENTIA
FILANDARI,VERDI EUROPEI-GREEN ITALIA,2,VIBO VALENTIA
FILOGASO,PARTITO DEMOCRATICO,239,VIBO VALENTIA
FILOGASO,NUOVO CENTRO DESTRA - UDC,91,VIBO VALENTIA
FILOGASO,FORZA ITALIA,64,VIBO VALENTIA
FILOGASO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,35,VIBO VALENTIA
FILOGASO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,12,VIBO VALENTIA
FILOGASO,SCELTA EUROPEA,5,VIBO VALENTIA
FILOGASO,VERDI EUROPEI-GREEN ITALIA,4,VIBO VALENTIA
FILOGASO,L'ALTRA EUROPA CON TSIPRAS,2,VIBO VALENTIA
FILOGASO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,2,VIBO VALENTIA
FILOGASO,ITALIA DEI VALORI,1,VIBO VALENTIA
FILOGASO,IO CAMBIO - MAIE,0,VIBO VALENTIA
FRANCAVILLA ANGITOLA,PARTITO DEMOCRATICO,284,VIBO VALENTIA
