Ente,Liste/Gruppi,Voti,nomefile
GUALDO CATTANEO,PARTITO DEMOCRATICO,1523,PERUGIA
GUALDO CATTANEO,FORZA ITALIA,778,PERUGIA
GUALDO CATTANEO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,697,PERUGIA
GUALDO CATTANEO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,263,PERUGIA
GUALDO CATTANEO,NUOVO CENTRO DESTRA - UDC,117,PERUGIA
GUALDO CATTANEO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,78,PERUGIA
GUALDO CATTANEO,L'ALTRA EUROPA CON TSIPRAS,72,PERUGIA
GUALDO CATTANEO,VERDI EUROPEI-GREEN ITALIA,16,PERUGIA
GUALDO CATTANEO,ITALIA DEI VALORI,16,PERUGIA
GUALDO CATTANEO,SCELTA EUROPEA,13,PERUGIA
GUALDO CATTANEO,IO CAMBIO - MAIE,3,PERUGIA
GUALDO TADINO,PARTITO DEMOCRATICO,4030,PERUGIA
GUALDO TADINO,FORZA ITALIA,1630,PERUGIA
GUALDO TADINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1618,PERUGIA
GUALDO TADINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,408,PERUGIA
GUALDO TADINO,NUOVO CENTRO DESTRA - UDC,314,PERUGIA
GUALDO TADINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,250,PERUGIA
GUALDO TADINO,L'ALTRA EUROPA CON TSIPRAS,179,PERUGIA
GUALDO TADINO,VERDI EUROPEI-GREEN ITALIA,50,PERUGIA
GUALDO TADINO,ITALIA DEI VALORI,45,PERUGIA
GUALDO TADINO,SCELTA EUROPEA,28,PERUGIA
GUALDO TADINO,IO CAMBIO - MAIE,19,PERUGIA
GUBBIO,PARTITO DEMOCRATICO,10363,PERUGIA
GUBBIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4190,PERUGIA
GUBBIO,FORZA ITALIA,1710,PERUGIA
GUBBIO,L'ALTRA EUROPA CON TSIPRAS,813,PERUGIA
GUBBIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,721,PERUGIA
GUBBIO,NUOVO CENTRO DESTRA - UDC,522,PERUGIA
GUBBIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,376,PERUGIA
GUBBIO,VERDI EUROPEI-GREEN ITALIA,99,PERUGIA
GUBBIO,ITALIA DEI VALORI,87,PERUGIA
GUBBIO,SCELTA EUROPEA,79,PERUGIA
GUBBIO,IO CAMBIO - MAIE,38,PERUGIA
LISCIANO NICCONE,PARTITO DEMOCRATICO,179,PERUGIA
LISCIANO NICCONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,59,PERUGIA
LISCIANO NICCONE,FORZA ITALIA,36,PERUGIA
LISCIANO NICCONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,21,PERUGIA
LISCIANO NICCONE,L'ALTRA EUROPA CON TSIPRAS,12,PERUGIA
LISCIANO NICCONE,NUOVO CENTRO DESTRA - UDC,5,PERUGIA
LISCIANO NICCONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,PERUGIA
LISCIANO NICCONE,SCELTA EUROPEA,4,PERUGIA
LISCIANO NICCONE,VERDI EUROPEI-GREEN ITALIA,3,PERUGIA
LISCIANO NICCONE,ITALIA DEI VALORI,2,PERUGIA
LISCIANO NICCONE,IO CAMBIO - MAIE,1,PERUGIA
MAGIONE,PARTITO DEMOCRATICO,4056,PERUGIA
MAGIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1431,PERUGIA
MAGIONE,FORZA ITALIA,1246,PERUGIA
MAGIONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,405,PERUGIA
MAGIONE,NUOVO CENTRO DESTRA - UDC,252,PERUGIA
MAGIONE,L'ALTRA EUROPA CON TSIPRAS,234,PERUGIA
MAGIONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,142,PERUGIA
MAGIONE,VERDI EUROPEI-GREEN ITALIA,43,PERUGIA
MAGIONE,ITALIA DEI VALORI,36,PERUGIA
MAGIONE,SCELTA EUROPEA,29,PERUGIA
MAGIONE,IO CAMBIO - MAIE,8,PERUGIA
MARSCIANO,PARTITO DEMOCRATICO,5397,PERUGIA
MARSCIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1900,PERUGIA
MARSCIANO,FORZA ITALIA,1320,PERUGIA
MARSCIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,583,PERUGIA
MARSCIANO,L'ALTRA EUROPA CON TSIPRAS,389,PERUGIA
MARSCIANO,NUOVO CENTRO DESTRA - UDC,377,PERUGIA
